Date,News_Headline,BERT_Sentiment,Sentiment_Category,Market_Impact,Signal_Accuracy
2025-01-01,"India corporate bond market sees ₹9,200 Cr issuances this week",0,Neutral,Downward,Incorrect
2025-01-02,India renewable energy capacity crosses 250 GW milestone,1,Positive,Upward,Correct
2025-01-03,India container throughput at ports up 12% YoY: ministry data,1,Positive,Upward,Correct
2025-01-04,"Wipro beats estimates, stock rallies 6.1% in morning trade",1,Positive,Downward,Incorrect
2025-01-05,"India PMI manufacturing at 53.8, in-line with consensus forecast",0,Neutral,Downward,Incorrect
2025-01-06,Nifty Realty consolidates near 52-week high; sector factors priced in,0,Neutral,Upward,Incorrect
2025-01-07,"US tariff threat on Indian pharma exports, sector falls 3.1%",-1,Negative,Upward,Incorrect
2025-01-08,Sebi board meeting to address F&O regulations; market on hold,0,Neutral,Downward,Incorrect
2025-01-09,Nifty Pharma down 2.1% as US FDA sends warning letter to firm,-1,Negative,Upward,Incorrect
2025-01-10,IT major mid-quarter update shows steady but unspectacular growth,0,Neutral,Downward,Incorrect
2025-01-11,Hero MotoCorp sales beat estimates; two-wheeler stocks rally,1,Positive,Downward,Incorrect
2025-01-12,"Bajaj Finance Q4 AUM growth at 28%, NBFC sector leads gains",1,Positive,Upward,Correct
2025-01-13,Nifty Chemical index gains on China+1 supply chain shift,0,Neutral,Downward,Incorrect
2025-01-14,"FII sell-off: ₹5,800 Cr exits equity market in single session",-1,Negative,Downward,Correct
2025-01-15,Maruti Suzuki Q4 EBITDA margins surprise positively at 13.2%,1,Positive,Downward,Incorrect
2025-01-16,Global recession fears trigger broad-based selling across sectors,-1,Negative,Downward,Correct
2025-01-17,"Large-cap MF inflows at ₹8,300 Cr in June, stable momentum",0,Neutral,Upward,Incorrect
2025-01-18,"Global tech selloff drags Infosys, TCS down 3-5% each",-1,Negative,Downward,Correct
2025-01-19,Nifty FMCG sector flat; awaiting rural volume growth trend data,0,Neutral,Downward,Incorrect
2025-01-20,India Q1 corporate revenue growth at 11.3% YoY beat estimates,-1,Negative,Upward,Incorrect
2025-01-21,India-Vietnam trade corridor investment signals boost logistics stocks,0,Neutral,Downward,Incorrect
2025-01-22,Nifty FMCG up 1.6% as rural wage growth outpaces urban,-1,Negative,Upward,Incorrect
2025-01-23,"India trade deficit at record $25 Bn, rupee hits 8-month low",-1,Negative,Downward,Correct
2025-01-24,India direct tax buoyancy in line with trend; no major surprises,0,Neutral,Downward,Incorrect
2025-01-25,NSE index derivatives turnover normalises post margin rule changes,0,Neutral,Upward,Incorrect
2025-01-26,"Reliance Industries Q4 profit up 18% YoY, triggers broad market rally",1,Positive,Downward,Incorrect
2025-01-27,"India hotel sector occupancy at record 78%, tourism stocks surge",1,Positive,Upward,Correct
2025-01-28,"Nifty IT index outperforms as rupee weakens, USD revenues boost",1,Positive,Downward,Incorrect
2025-01-29,India fertiliser sector stocks rally on policy subsidy clarity,1,Positive,Downward,Incorrect
2025-01-30,Nifty Midcap 100 gains 2.2% as domestic mutual funds pour in,1,Positive,Downward,Incorrect
2025-01-31,Nifty500 corrects 2.3% in week as FIIs turn sellers again,-1,Negative,Upward,Incorrect
2025-02-01,"FPIs pull out ₹18,000 Cr in October amid global risk-off mood",-1,Negative,Upward,Incorrect
2025-02-02,India 91-day T-Bill yield steady at 6.45% at weekly auction,0,Neutral,Downward,Incorrect
2025-02-03,"IT sector jumps on strong TCS quarterly guidance, Nifty IT up 2.5%",1,Positive,Upward,Correct
2025-02-04,India industrial output contracts 0.4% in December MoM,-1,Negative,Downward,Correct
2025-02-05,"Budget capex multiplier effect felt across cement, steel sectors",1,Positive,Upward,Correct
2025-02-06,"FII holding in Nifty50 stocks at 22.3%, stable over past month",0,Neutral,Downward,Incorrect
2025-02-07,Nifty Energy up 2.9% as ONGC reports strong refining margins,1,Positive,Downward,Incorrect
2025-02-08,Q2 earnings season begins; sector analysts adopt wait-and-watch stance,0,Neutral,Upward,Incorrect
2025-02-09,Nifty Listed Private Equity index outperforms on M&A activity,1,Positive,Upward,Correct
2025-02-10,"Market breadth weak: 1,620 declines vs 380 advances on NSE",-1,Negative,Upward,Incorrect
2025-02-11,Nifty Consumer discretionary up 2.1% on wedding season demand,0,Neutral,Downward,Incorrect
2025-02-12,India railway sector allocation doubled; infra stocks in focus,-1,Negative,Downward,Correct
2025-02-13,Nifty Midcap index underperforms as global risk appetite weakens,-1,Negative,Downward,Correct
2025-02-14,India rating upgraded to BBB+ outlook positive by Fitch Ratings,1,Positive,Downward,Incorrect
2025-02-15,Nifty PSE index at record high on divestment target revision,1,Positive,Downward,Incorrect
2025-02-16,"RBI raises CRR by 50 bps, banking stocks fall sharply",-1,Negative,Upward,Incorrect
2025-02-17,"Asian Paints volume growth beats forecast, consumer sector up",1,Positive,Upward,Correct
2025-02-18,Nifty CPSE ETF subscription oversubscribed 4x in latest tranche,1,Positive,Downward,Incorrect
2025-02-19,"India credit growth at 14.2% YoY, broadly in line with RBI target",0,Neutral,Upward,Incorrect
2025-02-20,"India e-commerce GMV grows 34% YoY, retail sector stocks jump",1,Positive,Downward,Incorrect
2025-02-21,Auto stocks rally as vehicle sales post record February numbers,1,Positive,Downward,Incorrect
2025-02-22,Nifty up 260 points as IIP data beats consensus by wide margin,1,Positive,Upward,Correct
2025-02-23,Nifty MNC index outperforms on strong global parent guidance,1,Positive,Upward,Correct
2025-02-24,FMCG sector outperforms on robust rural demand recovery data,1,Positive,Upward,Correct
2025-02-25,"DII buying of ₹1,200 Cr broadly offsets modest FII selling today",0,Neutral,Downward,Incorrect
2025-02-26,"India trade data mixed: exports up 3.1%, imports up 4.6%",0,Neutral,Downward,Incorrect
2025-02-27,"Nifty50 sees highest single-day FII buying of ₹7,200 Cr",1,Positive,Upward,Correct
2025-02-28,Nifty Smallcap 250 rises 2.6% as domestic flows pick up,1,Positive,Upward,Correct
2025-03-01,"Nifty50 year-to-date return at +12.4%, beats EM peer average",1,Positive,Downward,Incorrect
2025-03-02,"Market breadth strong as 1,850 stocks advance on NSE today",1,Positive,Downward,Incorrect
2025-03-03,India corporate profit-to-GDP ratio highest in a decade,1,Positive,Downward,Incorrect
2025-03-04,Nifty IT and Pharma trade in narrow bands; no trigger in view,0,Neutral,Downward,Incorrect
2025-03-05,Nifty IT down 4.2% on major US layoff announcements at IT firms,-1,Negative,Upward,Incorrect
